paradigm,schedule,p,nodes,resolution,max_iter,pruning,symmetry,T_min,T_median,T_mean,W,lambda_row,lambda_block,cov,speedup,efficiency,karp_flatt_e,comm_fraction,gflops,occupancy,warp_divergence,transfer_time,checksum
mpi,cyclic,8,1,1024x1024,1000,0,0,0.090957007,0.092334449,0.0926070396,259655490,2.763759565,2.348926634,0.9679585338,7.918081616,0.989760202,0.001477962316,0.002441076365,22.83764592,,,,9203734293765563287
mpi,dynamic,8,1,1024x1024,1000,0,0,0.090919897,0.092194997,0.0920777914,259655490,2.763759565,2.348926634,0.9679585338,7.921313472,0.990164184,0.001419074321,0.008596864117,22.84696737,,,,9203734293765563287
mpi,block,16,1,1024x1024,1000,0,0,0.117590377,0.11970048,0.122090211,259655490,2.763759565,2.593735507,0.9679585338,6.124693392,0.382793337,0.1074917113,0.003094521927,17.66508428,,,,9203734293765563287
mpi,cyclic,16,1,1024x1024,1000,0,0,0.049301565,0.051816836,0.0516361808,259655490,2.763759565,2.593735507,0.9679585338,14.60815706,0.9130098165,0.006351898374,0.03368446823,42.13342761,,,,9203734293765563287
mpi,dynamic,16,1,1024x1024,1000,0,0,0.046218405,0.046954137,0.0469652934,259655490,2.763759565,2.593735507,0.9679585338,15.58264516,0.9739153225,0.001785554101,0.02212795016,44.94408494,,,,9203734293765563287
mpi,block,32,1,1024x1024,1000,0,0,0.061569973,0.062081301,0.0625424986,259655490,2.763759565,2.661855184,0.9679585338,11.69734158,0.3655419242,0.05598917165,0.01195358653,33.73793781,,,,9203734293765563287
mpi,cyclic,32,1,1024x1024,1000,0,0,0.024110628,0.025693035,0.0258462308,259655490,2.763759565,2.661855184,0.9679585338,29.87085218,0.9334641307,0.002299304595,0.03015193134,86.15469991,,,,9203734293765563287
mpi,dynamic,32,1,1024x1024,1000,0,0,0.023156184,0.02416752,0.0239657366,259655490,2.763759565,2.661855184,0.9679585338,31.10205917,0.9719393492,0.0009313156069,0.02541707244,89.70579608,,,,9203734293765563287
openmp,dynamic_1,2,1,1024x1024,1000,0,0,0.360791838,0.361484649,0.3613749674,259655490,2.763759565,1,0.9679585338,2.011207889,1.005603945,-0.005572715488,,5.757458183,,,,9203734293765563287
openmp,dynamic_16,2,1,1024x1024,1000,0,0,0.360905841,0.3615399,0.361389486,259655490,2.763759565,1,0.9679585338,2.010572589,1.005286294,-0.005258496368,,5.755639516,,,,9203734293765563287
openmp,dynamic_64,2,1,1024x1024,1000,0,0,0.360728347,0.36149379,0.3613652476,259655490,2.763759565,1,0.9679585338,2.011561878,1.005780939,-0.005747711638,,5.75847154,,,,9203734293765563287
openmp,guided,2,1,1024x1024,1000,0,0,0.360564285,0.361416228,0.3612981662,259655490,2.763759565,1,0.9679585338,2.012477168,1.006238584,-0.006199905152,,5.761091729,,,,9203734293765563287
openmp,static,2,1,1024x1024,1000,0,0,0.360763978,0.361579021,0.3614248664,259655490,2.763759565,1,0.9679585338,2.011363205,1.005681602,-0.00564950421,,5.757902803,,,,9203734293765563287
